timestamp,symbol,open,high,low,close,volume
2026-01-02T09:00:00Z,QQQ,454.90,455.04,454.83,455.00,40829
2026-01-02T09:01:00Z,QQQ,454.49,455.19,454.33,455.00,214997
2026-01-02T09:02:00Z,QQQ,454.69,458.32,454.52,458.00,18124
2026-01-02T09:03:00Z,QQQ,457.65,457.72,456.79,457.00,116619
2026-01-02T09:04:00Z,QQQ,457.15,457.36,456.80,457.00,1572
2026-01-02T09:05:00Z,QQQ,456.51,457.02,456.39,457.00,214997
2026-01-02T09:06:00Z,QQQ,456.89,457.15,456.80,457.00,31868
2026-01-02T09:07:00Z,QQQ,456.59,457.32,456.16,457.00,214997
2026-01-02T09:08:00Z,QQQ,457.45,457.54,456.96,457.00,21661
2026-01-02T09:09:00Z,QQQ,456.85,457.23,456.64,457.00,65776
2026-01-02T09:10:00Z,QQQ,456.95,457.25,456.88,457.00,3323
2026-01-02T09:11:00Z,QQQ,456.76,457.22,456.58,457.00,5709
2026-01-02T09:12:00Z,QQQ,457.43,458.08,457.17,458.00,27485
2026-01-02T09:13:00Z,QQQ,458.23,458.35,457.95,458.00,199454
2026-01-02T09:14:00Z,QQQ,458.09,458.13,456.79,457.00,214997
2026-01-02T09:15:00Z,QQQ,456.48,457.16,456.32,457.00,695
2026-01-02T09:16:00Z,QQQ,457.56,457.74,456.72,457.00,45354
2026-01-02T09:17:00Z,QQQ,456.32,457.16,456.14,457.00,214997
2026-01-02T09:18:00Z,QQQ,457.02,459.72,456.79,459.00,114398
2026-01-02T09:19:00Z,QQQ,457.76,458.26,457.70,458.00,214997
2026-01-02T09:20:00Z,QQQ,458.37,459.11,458.30,459.00,34948
2026-01-02T09:21:00Z,QQQ,458.45,460.05,458.26,460.00,16458
2026-01-02T09:22:00Z,QQQ,460.51,460.96,460.00,460.00,214997
2026-01-02T09:23:00Z,QQQ,459.44,460.32,459.22,460.00,214997
2026-01-02T09:24:00Z,QQQ,459.73,460.21,459.66,460.00,16985
2026-01-02T09:25:00Z,QQQ,460.44,461.09,460.28,461.00,5538
2026-01-02T09:26:00Z,QQQ,460.74,460.78,458.54,459.00,54983
2026-01-02T09:27:00Z,QQQ,459.03,459.07,457.80,458.00,60572
2026-01-02T09:28:00Z,QQQ,458.12,458.44,457.87,458.00,25090
2026-01-02T09:29:00Z,QQQ,457.48,458.34,457.31,458.00,214997
2026-01-02T09:30:00Z,QQQ,458.03,461.11,457.87,461.00,25135
2026-01-02T09:31:00Z,QQQ,460.98,462.13,460.58,462.00,13407
2026-01-02T09:32:00Z,QQQ,461.90,462.28,461.75,462.00,214997
2026-01-02T09:33:00Z,QQQ,461.62,462.01,461.45,462.00,51850
2026-01-02T09:34:00Z,QQQ,462.68,462.82,461.64,462.00,13260
2026-01-02T09:35:00Z,QQQ,461.25,462.28,461.01,462.00,204616
2026-01-02T09:36:00Z,QQQ,462.14,462.35,461.91,462.00,152526
2026-01-02T09:37:00Z,QQQ,462.65,462.77,461.96,462.00,106115
2026-01-02T09:38:00Z,QQQ,462.28,462.37,461.78,462.00,22612
2026-01-02T09:39:00Z,QQQ,462.26,462.27,461.65,462.00,214997
2026-01-02T09:40:00Z,QQQ,462.18,462.41,461.81,462.00,214997
2026-01-02T09:41:00Z,QQQ,460.87,463.23,460.63,463.00,41467
2026-01-02T09:42:00Z,QQQ,462.68,462.73,461.80,462.00,48067
2026-01-02T09:43:00Z,QQQ,461.91,462.18,461.59,462.00,45586
2026-01-02T09:44:00Z,QQQ,462.08,462.21,461.94,462.00,31877
2026-01-02T09:45:00Z,QQQ,461.91,463.10,461.68,463.00,14823
2026-01-02T09:46:00Z,QQQ,462.96,463.31,462.71,463.00,27305
2026-01-02T09:47:00Z,QQQ,463.01,463.24,462.83,463.00,15201
2026-01-02T09:48:00Z,QQQ,463.71,463.79,462.69,463.00,20262
2026-01-02T09:49:00Z,QQQ,462.73,463.17,462.36,463.00,33608
2026-01-02T09:50:00Z,QQQ,462.86,463.34,462.75,463.00,16847
2026-01-02T09:51:00Z,QQQ,463.69,463.90,462.95,463.00,2336
2026-01-02T09:52:00Z,QQQ,462.76,463.47,462.76,463.00,47223
2026-01-02T09:53:00Z,QQQ,462.76,463.20,462.61,463.00,29214
2026-01-02T09:54:00Z,QQQ,462.34,462.55,461.67,462.00,214997
2026-01-02T09:55:00Z,QQQ,461.96,462.08,461.71,462.00,100290
2026-01-02T09:56:00Z,QQQ,462.67,462.77,461.97,462.00,9847
2026-01-02T09:57:00Z,QQQ,462.25,462.48,460.85,461.00,77877
2026-01-02T09:58:00Z,QQQ,460.91,461.13,460.68,461.00,214997
2026-01-02T09:59:00Z,QQQ,461.01,462.29,460.70,462.00,2307
2026-01-02T10:00:00Z,QQQ,461.96,462.21,461.62,462.00,71312
2026-01-02T10:01:00Z,QQQ,461.78,462.12,461.41,462.00,71242
2026-01-02T10:02:00Z,QQQ,461.75,462.12,461.31,462.00,214997
2026-01-02T10:03:00Z,QQQ,462.13,463.18,461.98,463.00,59226
2026-01-02T10:04:00Z,QQQ,463.39,463.83,462.73,463.00,16683
2026-01-02T10:05:00Z,QQQ,462.01,463.26,461.68,463.00,13722
2026-01-02T10:06:00Z,QQQ,463.46,463.66,462.94,463.00,214997
2026-01-02T10:07:00Z,QQQ,463.96,464.17,462.91,463.00,214997
2026-01-02T10:08:00Z,QQQ,463.43,463.53,462.81,463.00,42904
2026-01-02T10:09:00Z,QQQ,462.96,463.15,462.75,463.00,12190
2026-01-02T10:10:00Z,QQQ,463.53,463.89,462.92,463.00,214997
2026-01-02T10:11:00Z,QQQ,462.62,462.84,461.80,462.00,2361
2026-01-02T10:12:00Z,QQQ,461.30,462.00,461.26,462.00,214997
2026-01-02T10:13:00Z,QQQ,462.33,463.07,462.08,463.00,24694
2026-01-02T10:14:00Z,QQQ,463.31,463.44,462.73,463.00,14065
2026-01-02T10:15:00Z,QQQ,462.75,463.12,462.65,463.00,53472
2026-01-02T10:16:00Z,QQQ,462.66,463.16,462.50,463.00,26983
2026-01-02T10:17:00Z,QQQ,463.09,463.38,462.74,463.00,96313
2026-01-02T10:18:00Z,QQQ,462.77,463.12,462.52,463.00,48572
2026-01-02T10:19:00Z,QQQ,462.88,463.19,462.74,463.00,5803
2026-01-02T10:20:00Z,QQQ,462.82,463.10,461.77,462.00,13543
2026-01-02T10:21:00Z,QQQ,462.00,463.04,461.64,463.00,90750
2026-01-02T10:22:00Z,QQQ,463.18,463.62,461.58,462.00,97988
2026-01-02T10:23:00Z,QQQ,461.64,462.00,461.34,462.00,123282
2026-01-02T10:24:00Z,QQQ,462.48,462.87,461.61,462.00,19401
2026-01-02T10:25:00Z,QQQ,462.54,462.60,461.79,462.00,173230
2026-01-02T10:26:00Z,QQQ,462.38,463.15,462.35,463.00,21458
2026-01-02T10:27:00Z,QQQ,463.81,463.90,461.84,462.00,146794
2026-01-02T10:28:00Z,QQQ,462.15,462.42,460.74,461.00,91488
2026-01-02T10:29:00Z,QQQ,461.24,463.28,460.99,463.00,132133
2026-01-02T10:30:00Z,QQQ,463.34,463.34,462.89,463.00,214997
2026-01-02T10:31:00Z,QQQ,462.67,463.01,462.54,463.00,46826
2026-01-02T10:32:00Z,QQQ,463.88,463.90,462.83,463.00,45480
2026-01-02T10:33:00Z,QQQ,462.96,463.24,462.61,463.00,214997
